"date","district","sero_pos_all","sero_tot_all","pcr_pos_all","pcr_tot_all","deaths_all","deaths_0_14","deaths_40_59","deaths_15_39","deaths_60_plus"
2020-10-26,"lusaka",NA,NA,NA,NA,74,20,17,24,12
2020-10-27,"lusaka",NA,NA,NA,NA,73,14,25,18,16
2020-10-28,"lusaka",NA,NA,NA,NA,48,10,14,16,8
2020-10-29,"lusaka",NA,NA,NA,NA,44,7,8,14,14
2020-10-30,"lusaka",NA,NA,NA,NA,48,11,10,10,13
2020-10-31,"lusaka",NA,NA,NA,NA,66,14,15,21,12
2020-11-01,"lusaka",NA,NA,NA,NA,46,17,6,9,12
2020-11-02,"lusaka",NA,NA,NA,NA,58,14,14,11,15
2020-11-03,"lusaka",NA,NA,NA,NA,41,17,10,6,8
2020-11-04,"lusaka",NA,NA,NA,NA,52,13,11,19,5
2020-11-05,"lusaka",NA,NA,NA,NA,43,9,12,13,8
2020-11-06,"lusaka",NA,NA,NA,NA,40,15,8,8,6
2020-11-07,"lusaka",NA,NA,NA,NA,54,10,15,11,14
2020-11-08,"lusaka",NA,NA,NA,NA,42,13,8,14,4
2020-11-09,"lusaka",NA,NA,NA,NA,30,4,8,9,7
2020-11-10,"lusaka",NA,NA,NA,NA,33,5,7,9,9
2020-11-11,"lusaka",NA,NA,NA,NA,56,16,12,11,16
2020-11-12,"lusaka",NA,NA,NA,NA,41,8,9,14,5
2020-11-13,"lusaka",NA,NA,NA,NA,53,22,10,11,9
2020-11-14,"lusaka",NA,NA,NA,NA,39,9,6,8,13
2020-11-15,"lusaka",NA,NA,NA,NA,46,10,10,9,16
2020-11-16,"lusaka",NA,NA,NA,NA,64,13,11,21,16
2020-11-17,"lusaka",NA,NA,NA,NA,23,11,3,5,2
2020-11-18,"lusaka",NA,NA,NA,NA,44,9,8,10,13
2020-11-19,"lusaka",NA,NA,NA,NA,30,10,9,5,5
2020-11-20,"lusaka",NA,NA,NA,NA,33,10,8,8,5
2020-11-21,"lusaka",NA,NA,NA,NA,10,4,2,2,1
2020-11-22,"lusaka",NA,NA,NA,NA,66,21,15,17,9
2020-11-23,"lusaka",NA,NA,NA,NA,44,11,11,10,9
2020-11-24,"lusaka",NA,NA,NA,NA,33,7,13,5,7
2020-11-25,"lusaka",NA,NA,NA,NA,49,11,14,10,9
2020-11-26,"lusaka",NA,NA,NA,NA,39,12,6,10,10
2020-11-27,"lusaka",NA,NA,NA,NA,64,15,9,20,16
2020-11-28,"lusaka",NA,NA,NA,NA,48,15,8,14,5
2020-11-29,"lusaka",NA,NA,NA,NA,34,13,11,4,5
2020-11-30,"lusaka",NA,NA,NA,NA,26,7,4,6,5
2020-12-01,"lusaka",NA,NA,NA,NA,32,8,4,12,7
2020-12-02,"lusaka",NA,NA,NA,NA,38,22,4,10,1
2020-12-03,"lusaka",NA,NA,NA,NA,34,11,6,12,4
2020-12-04,"lusaka",NA,NA,NA,NA,52,14,16,7,10
2020-12-05,"lusaka",NA,NA,NA,NA,40,5,12,9,10
2020-12-06,"lusaka",NA,NA,NA,NA,35,13,10,8,4
2020-12-07,"lusaka",NA,NA,NA,NA,49,14,12,14,8
2020-12-08,"lusaka",NA,NA,NA,NA,46,11,11,15,7
2020-12-09,"lusaka",NA,NA,NA,NA,48,14,13,13,8
2020-12-10,"lusaka",NA,NA,NA,NA,45,21,8,11,4
2020-12-11,"lusaka",NA,NA,NA,NA,41,11,10,12,7
2020-12-12,"lusaka",NA,NA,NA,NA,42,15,9,10,7
2020-12-13,"lusaka",NA,NA,NA,NA,44,14,9,11,8
2020-12-14,"lusaka",NA,NA,NA,NA,38,14,7,12,4
2020-12-15,"lusaka",NA,NA,NA,NA,50,13,9,10,16
2020-12-16,"lusaka",NA,NA,NA,NA,27,4,5,13,3
2020-12-17,"lusaka",NA,NA,NA,NA,62,17,15,13,15
2020-12-18,"lusaka",NA,NA,NA,NA,42,10,11,11,7
2020-12-19,"lusaka",NA,NA,NA,NA,28,9,3,8,6
2020-12-20,"lusaka",NA,NA,NA,NA,37,8,5,12,8
2020-12-21,"lusaka",NA,NA,NA,NA,45,13,8,16,7
2020-12-22,"lusaka",NA,NA,NA,NA,37,11,8,8,9
2020-12-23,"lusaka",NA,NA,NA,NA,49,10,11,13,12
2020-12-24,"lusaka",NA,NA,NA,NA,40,9,5,11,6
2020-12-25,"lusaka",NA,NA,NA,NA,65,13,18,18,14
2020-12-26,"lusaka",NA,NA,NA,NA,35,4,9,11,8
2020-12-27,"lusaka",NA,NA,NA,NA,74,23,19,17,12
2020-12-28,"lusaka",NA,NA,NA,NA,37,8,10,12,5
2020-12-29,"lusaka",NA,NA,NA,NA,42,15,12,3,5
2020-12-30,"lusaka",NA,NA,NA,NA,57,15,11,14,13
2020-12-31,"lusaka",NA,NA,NA,NA,22,2,2,12,5
2020-01-01,"ndola",NA,NA,NA,NA,16,2,4,6,3
2020-01-02,"ndola",NA,NA,NA,NA,13,NA,2,4,4
2020-01-03,"ndola",NA,NA,NA,NA,9,NA,5,1,1
2020-01-04,"ndola",NA,NA,NA,NA,15,NA,4,3,5
2020-01-05,"ndola",NA,NA,NA,NA,4,1,1,NA,NA
2020-01-06,"ndola",NA,NA,NA,NA,6,1,1,2,1
2020-01-07,"ndola",NA,NA,NA,NA,8,NA,6,NA,1
2020-01-08,"ndola",NA,NA,NA,NA,14,4,1,5,3
2020-01-09,"ndola",NA,NA,NA,NA,13,1,4,3,3
2020-01-10,"ndola",NA,NA,NA,NA,12,1,5,4,1
2020-01-11,"ndola",NA,NA,NA,NA,9,1,3,1,3
2020-01-12,"ndola",NA,NA,NA,NA,14,1,2,6,3
2020-01-13,"ndola",NA,NA,NA,NA,14,NA,3,2,6
2020-01-14,"ndola",NA,NA,NA,NA,12,NA,4,6,NA
2020-01-15,"ndola",NA,NA,NA,NA,12,NA,1,3,6
2020-01-16,"ndola",NA,NA,NA,NA,14,1,1,4,6
2020-01-17,"ndola",NA,NA,NA,NA,17,2,3,4,2
2020-01-18,"ndola",NA,NA,NA,NA,5,NA,1,NA,1
2020-01-19,"ndola",NA,NA,NA,NA,8,1,4,NA,1
2020-01-20,"ndola",NA,NA,NA,NA,14,4,2,5,2
2020-01-21,"ndola",NA,NA,NA,NA,15,NA,4,NA,9
2020-01-22,"ndola",NA,NA,NA,NA,12,NA,3,4,3
2020-01-23,"ndola",NA,NA,NA,NA,14,NA,5,4,2
2020-01-24,"ndola",NA,NA,NA,NA,8,NA,NA,4,1
2020-01-25,"ndola",NA,NA,NA,NA,10,1,3,1,4
2020-01-26,"ndola",NA,NA,NA,NA,10,1,4,2,1
2020-01-27,"ndola",NA,NA,NA,NA,6,1,2,1,1
2020-01-28,"ndola",NA,NA,NA,NA,12,1,4,1,3
2020-01-29,"ndola",NA,NA,NA,NA,8,NA,3,NA,2
2020-01-30,"ndola",NA,NA,NA,NA,7,NA,1,3,1
2020-01-31,"ndola",NA,NA,NA,NA,9,1,3,2,1
2020-02-01,"ndola",NA,NA,NA,NA,9,NA,4,1,1
2020-02-02,"ndola",NA,NA,NA,NA,9,NA,1,3,1
2020-02-03,"ndola",NA,NA,NA,NA,6,NA,2,1,NA
2020-02-04,"ndola",NA,NA,NA,NA,12,2,2,1,5
2020-02-05,"ndola",NA,NA,NA,NA,12,NA,4,2,4
2020-02-06,"ndola",NA,NA,NA,NA,7,NA,1,2,2
2020-02-07,"ndola",NA,NA,NA,NA,17,1,6,3,3
2020-02-08,"ndola",NA,NA,NA,NA,23,3,6,8,4
2020-02-09,"ndola",NA,NA,NA,NA,19,1,6,6,4
2020-02-10,"ndola",NA,NA,NA,NA,10,2,1,4,2
2020-02-11,"ndola",NA,NA,NA,NA,14,NA,2,4,5
2020-02-12,"ndola",NA,NA,NA,NA,15,NA,4,6,3
2020-02-13,"ndola",NA,NA,NA,NA,10,NA,1,4,3
2020-02-14,"ndola",NA,NA,NA,NA,12,NA,4,3,2
2020-02-15,"ndola",NA,NA,NA,NA,8,NA,NA,2,4
2020-02-16,"ndola",NA,NA,NA,NA,14,NA,3,4,5
2020-02-17,"ndola",NA,NA,NA,NA,10,1,2,4,2
2020-02-18,"ndola",NA,NA,NA,NA,7,1,NA,1,2
2020-02-19,"ndola",NA,NA,NA,NA,7,NA,1,NA,3
2020-02-20,"ndola",NA,NA,NA,NA,12,1,2,2,4
2020-02-21,"ndola",NA,NA,NA,NA,13,2,NA,5,4
2020-02-22,"ndola",NA,NA,NA,NA,11,NA,4,3,2
2020-02-23,"ndola",NA,NA,NA,NA,10,NA,3,2,3
2020-02-24,"ndola",NA,NA,NA,NA,14,1,4,6,1
2020-02-25,"ndola",NA,NA,NA,NA,8,NA,NA,2,4
2020-02-26,"ndola",NA,NA,NA,NA,12,NA,2,4,1
2020-02-27,"ndola",NA,NA,NA,NA,11,1,2,5,1
2020-02-28,"ndola",NA,NA,NA,NA,11,1,2,2,4
2020-02-29,"ndola",NA,NA,NA,NA,10,NA,3,1,4
2020-03-01,"ndola",NA,NA,NA,NA,12,NA,4,3,2
2020-03-02,"ndola",NA,NA,NA,NA,13,2,3,2,3
2020-03-03,"ndola",NA,NA,NA,NA,16,2,1,8,3
2020-03-04,"ndola",NA,NA,NA,NA,14,NA,3,2,6
2020-03-05,"ndola",NA,NA,NA,NA,14,2,1,5,4
2020-03-06,"ndola",NA,NA,NA,NA,31,1,12,4,4
2020-03-07,"ndola",NA,NA,NA,NA,14,2,5,3,3
2020-03-08,"ndola",NA,NA,NA,NA,11,NA,3,2,4
2020-03-09,"ndola",NA,NA,NA,NA,14,2,4,1,4
2020-03-10,"ndola",NA,NA,NA,NA,14,1,2,9,NA
2020-03-11,"ndola",NA,NA,NA,NA,9,1,NA,2,4
2020-03-12,"ndola",NA,NA,NA,NA,8,4,2,1,NA
2020-03-13,"ndola",NA,NA,NA,NA,9,NA,NA,2,4
2020-03-14,"ndola",NA,NA,NA,NA,13,NA,5,1,5
2020-03-15,"ndola",NA,NA,NA,NA,9,NA,3,1,3
2020-03-16,"ndola",NA,NA,NA,NA,11,NA,3,3,1
2020-03-17,"ndola",NA,NA,NA,NA,10,NA,1,4,2
2020-03-18,"ndola",NA,NA,NA,NA,8,NA,4,NA,2
2020-03-19,"ndola",NA,NA,NA,NA,9,NA,3,2,2
2020-03-20,"ndola",NA,NA,NA,NA,8,1,1,2,3
2020-03-21,"ndola",NA,NA,NA,NA,10,NA,5,1,2
2020-03-22,"ndola",NA,NA,NA,NA,11,NA,2,4,2
2020-03-23,"ndola",NA,NA,NA,NA,8,1,NA,4,2
2020-03-24,"ndola",NA,NA,NA,NA,15,1,2,5,4
2020-03-25,"ndola",NA,NA,NA,NA,11,NA,3,1,4
2020-03-26,"ndola",NA,NA,NA,NA,12,NA,3,4,2
2020-03-27,"ndola",NA,NA,NA,NA,15,NA,3,3,5
2020-03-28,"ndola",NA,NA,NA,NA,11,NA,5,3,NA
2020-03-29,"ndola",NA,NA,NA,NA,7,NA,2,NA,2
2020-03-30,"ndola",NA,NA,NA,NA,11,2,2,2,2
2020-03-31,"ndola",NA,NA,NA,NA,14,NA,1,7,4
2020-04-01,"ndola",NA,NA,NA,NA,9,3,NA,2,1
2020-04-02,"ndola",NA,NA,NA,NA,11,NA,2,3,4
2020-04-03,"ndola",NA,NA,NA,NA,10,1,1,2,5
2020-04-04,"ndola",NA,NA,NA,NA,12,NA,1,4,2
2020-04-05,"ndola",NA,NA,NA,NA,6,1,1,2,NA
2020-04-06,"ndola",NA,NA,NA,NA,8,1,2,NA,3
2020-04-07,"ndola",NA,NA,NA,NA,11,NA,4,3,2
2020-04-08,"ndola",NA,NA,NA,NA,17,3,7,2,3
2020-04-09,"ndola",NA,NA,NA,NA,13,2,4,2,4
2020-04-10,"ndola",NA,NA,NA,NA,14,NA,5,2,5
2020-04-11,"ndola",NA,NA,NA,NA,10,1,2,2,3
2020-04-12,"ndola",NA,NA,NA,NA,8,2,2,NA,3
2020-04-13,"ndola",NA,NA,NA,NA,10,NA,3,5,NA
2020-04-14,"ndola",NA,NA,NA,NA,11,NA,3,2,4
2020-04-15,"ndola",NA,NA,NA,NA,17,NA,4,5,4
2020-04-16,"ndola",NA,NA,NA,NA,9,2,1,3,2
2020-04-17,"ndola",NA,NA,NA,NA,10,NA,1,1,6
2020-04-18,"ndola",NA,NA,NA,NA,15,NA,5,3,4
2020-04-19,"ndola",NA,NA,NA,NA,13,1,2,4,4
2020-04-20,"ndola",NA,NA,NA,NA,5,NA,1,NA,NA
2020-04-21,"ndola",NA,NA,NA,NA,11,NA,3,NA,3
2020-04-22,"ndola",NA,NA,NA,NA,13,NA,1,5,3
2020-04-23,"ndola",NA,NA,NA,NA,5,1,NA,1,1
2020-04-24,"ndola",NA,NA,NA,NA,13,1,2,1,5
2020-04-25,"ndola",NA,NA,NA,NA,4,NA,1,NA,NA
2020-04-26,"ndola",NA,NA,NA,NA,19,NA,5,4,8
2020-04-27,"ndola",NA,NA,NA,NA,10,NA,2,3,3
2020-04-28,"ndola",NA,NA,NA,NA,9,NA,4,1,2
2020-04-29,"ndola",NA,NA,NA,NA,8,NA,2,3,NA
2020-04-30,"ndola",NA,NA,NA,NA,10,NA,3,2,1
2020-05-01,"ndola",NA,NA,NA,NA,8,NA,1,4,1
2020-05-02,"ndola",NA,NA,NA,NA,6,1,NA,2,2
2020-05-03,"ndola",NA,NA,NA,NA,6,NA,2,NA,1
2020-05-04,"ndola",NA,NA,NA,NA,17,NA,3,4,6
2020-05-05,"ndola",NA,NA,NA,NA,10,1,2,2,NA
2020-05-06,"ndola",NA,NA,NA,NA,11,NA,4,4,1
2020-05-07,"ndola",NA,NA,NA,NA,8,NA,1,2,3
2020-05-08,"ndola",NA,NA,NA,NA,9,1,3,2,1
2020-05-09,"ndola",NA,NA,NA,NA,4,NA,1,NA,1
2020-05-10,"ndola",NA,NA,NA,NA,15,1,3,5,5
2020-05-11,"ndola",NA,NA,NA,NA,12,NA,3,7,NA
2020-05-12,"ndola",NA,NA,NA,NA,14,2,3,2,5
2020-05-13,"ndola",NA,NA,NA,NA,7,NA,2,NA,3
2020-05-14,"ndola",NA,NA,NA,NA,12,NA,4,1,4
2020-05-15,"ndola",NA,NA,NA,NA,7,NA,1,2,2
2020-05-16,"ndola",NA,NA,NA,NA,10,NA,4,1,3
2020-05-17,"ndola",NA,NA,NA,NA,9,1,1,3,3
2020-05-18,"ndola",NA,NA,NA,NA,9,NA,2,1,4
2020-05-19,"ndola",NA,NA,NA,NA,10,NA,1,4,3
2020-05-20,"ndola",NA,NA,NA,NA,7,NA,1,3,1
2020-05-21,"ndola",NA,NA,NA,NA,12,NA,3,1,5
2020-05-22,"ndola",NA,NA,NA,NA,6,NA,1,2,1
2020-05-23,"ndola",NA,NA,NA,NA,11,NA,1,4,3
2020-05-24,"ndola",NA,NA,NA,NA,11,NA,3,3,3
2020-05-25,"ndola",NA,NA,NA,NA,14,NA,6,3,3
2020-05-26,"ndola",NA,NA,NA,NA,9,NA,1,3,3
2020-05-27,"ndola",NA,NA,NA,NA,17,1,2,6,7
2020-05-28,"ndola",NA,NA,NA,NA,9,NA,NA,2,5
2020-05-29,"ndola",NA,NA,NA,NA,8,NA,NA,1,5
2020-05-30,"ndola",NA,NA,NA,NA,14,NA,4,1,4
2020-05-31,"ndola",NA,NA,NA,NA,14,NA,5,4,3
2020-06-01,"ndola",NA,NA,NA,NA,7,NA,1,2,2
2020-06-02,"ndola",NA,NA,NA,NA,16,1,7,3,3
2020-06-03,"ndola",NA,NA,NA,NA,7,NA,1,2,2
2020-06-04,"ndola",NA,NA,NA,NA,9,NA,4,NA,2
2020-06-05,"ndola",NA,NA,NA,NA,14,1,3,3,4
2020-06-06,"ndola",NA,NA,NA,NA,5,NA,NA,1,2
2020-06-07,"ndola",NA,NA,NA,NA,16,NA,5,5,3
2020-06-08,"ndola",NA,NA,NA,NA,10,NA,5,3,NA
2020-06-09,"ndola",NA,NA,NA,NA,11,NA,2,3,3
2020-06-10,"ndola",NA,NA,NA,NA,8,NA,1,2,3
2020-06-11,"ndola",NA,NA,NA,NA,10,1,1,2,5
2020-06-12,"ndola",NA,NA,NA,NA,11,1,3,3,3
2020-06-13,"ndola",NA,NA,NA,NA,8,NA,1,2,3
2020-06-14,"ndola",NA,NA,NA,NA,14,NA,3,4,5
2020-06-15,"ndola",NA,NA,NA,NA,16,3,5,3,4
2020-06-16,"ndola",NA,NA,NA,NA,8,NA,1,3,3
2020-06-17,"ndola",NA,NA,NA,NA,8,1,3,2,NA
2020-06-18,"ndola",NA,NA,NA,NA,5,1,1,1,1
2020-06-19,"ndola",NA,NA,NA,NA,19,NA,1,6,9
2020-06-20,"ndola",NA,NA,NA,NA,9,NA,3,4,NA
2020-06-21,"ndola",NA,NA,NA,NA,13,1,2,3,5
2020-06-22,"ndola",NA,NA,NA,NA,9,1,1,2,4
2020-06-23,"ndola",NA,NA,NA,NA,8,NA,1,1,3
2020-06-24,"ndola",NA,NA,NA,NA,8,1,NA,2,3
2020-06-25,"ndola",NA,NA,NA,NA,10,NA,1,2,4
2020-06-26,"ndola",NA,NA,NA,NA,12,NA,2,2,6
2020-06-27,"ndola",NA,NA,NA,NA,8,NA,2,2,2
2020-06-28,"ndola",NA,NA,NA,NA,12,NA,3,4,3
2020-06-29,"ndola",NA,NA,NA,NA,7,NA,2,2,1
2020-06-30,"ndola",NA,NA,NA,NA,5,NA,NA,3,NA
2020-07-01,"ndola",NA,NA,NA,NA,8,NA,3,NA,3
2020-07-02,"ndola",NA,NA,NA,NA,11,NA,3,3,3
2020-07-03,"ndola",NA,NA,NA,NA,9,1,4,1,1
2020-07-04,"ndola",NA,NA,NA,NA,7,2,NA,2,2
2020-07-05,"ndola",NA,NA,NA,NA,9,NA,3,3,1
2020-07-06,"ndola",NA,NA,NA,NA,7,1,1,2,1
2020-07-07,"ndola",NA,NA,NA,NA,6,2,2,NA,1
2020-07-08,"ndola",NA,NA,4,61,8,1,3,1,2
2020-07-09,"ndola",NA,NA,NA,NA,10,NA,1,NA,7
2020-07-10,"ndola",NA,NA,NA,NA,7,NA,1,3,1
2020-07-11,"ndola",NA,NA,NA,NA,5,NA,NA,1,2
2020-07-12,"ndola",NA,NA,NA,NA,3,NA,NA,1,NA
2020-07-13,"ndola",NA,NA,NA,NA,4,NA,NA,2,NA
2020-07-14,"ndola",NA,NA,NA,NA,11,NA,2,5,2
2020-07-15,"ndola",9,342,56,376,5,NA,1,2,NA
2020-07-16,"ndola",NA,NA,NA,NA,7,NA,3,1,1
2020-07-17,"ndola",NA,NA,NA,NA,7,NA,3,1,1
2020-07-18,"ndola",NA,NA,NA,NA,9,1,1,1,4
2020-07-19,"ndola",NA,NA,NA,NA,3,NA,NA,NA,1
2020-07-20,"ndola",NA,NA,NA,NA,8,NA,1,1,4
2020-07-21,"ndola",NA,NA,NA,NA,6,NA,NA,3,1
2020-07-22,"ndola",6,278,10,246,7,NA,2,2,1
2020-07-23,"ndola",NA,NA,NA,NA,7,1,2,2,1
2020-07-24,"ndola",NA,NA,NA,NA,9,NA,4,2,1
2020-07-25,"ndola",NA,NA,NA,NA,11,1,3,2,4
2020-07-26,"ndola",NA,NA,NA,NA,9,1,NA,2,5
2020-07-27,"ndola",NA,NA,NA,NA,10,NA,4,2,1
2020-07-28,"ndola",NA,NA,NA,NA,8,NA,2,1,2
2020-07-29,"ndola",NA,NA,NA,NA,12,2,3,3,3
2020-07-30,"ndola",NA,NA,NA,NA,5,NA,1,NA,2
2020-07-31,"ndola",NA,NA,NA,NA,7,1,2,1,1
2020-08-01,"ndola",NA,NA,NA,NA,5,NA,NA,3,NA
2020-08-02,"ndola",NA,NA,NA,NA,9,1,2,1,2
2020-08-03,"ndola",NA,NA,NA,NA,10,NA,NA,1,7
2020-08-04,"ndola",NA,NA,NA,NA,10,NA,1,2,5
2020-08-05,"ndola",NA,NA,NA,NA,13,1,3,2,5
2020-08-06,"ndola",NA,NA,NA,NA,3,1,NA,NA,1
2020-08-07,"ndola",NA,NA,NA,NA,9,1,3,2,2
2020-08-08,"ndola",NA,NA,NA,NA,13,NA,3,5,2
2020-08-09,"ndola",NA,NA,NA,NA,13,3,2,1,5
2020-08-10,"ndola",NA,NA,NA,NA,17,3,4,3,6
2020-08-11,"ndola",NA,NA,NA,NA,11,2,2,4,3
2020-08-12,"ndola",NA,NA,NA,NA,9,1,3,3,1
2020-08-13,"ndola",NA,NA,NA,NA,23,NA,4,7,9
2020-08-14,"ndola",NA,NA,NA,NA,7,1,1,NA,4
2020-08-15,"ndola",NA,NA,NA,NA,7,NA,2,NA,2
2020-08-16,"ndola",NA,NA,NA,NA,10,2,4,3,1
2020-08-17,"ndola",NA,NA,NA,NA,9,1,2,1,4
2020-08-18,"ndola",NA,NA,NA,NA,12,2,2,1,5
2020-08-19,"ndola",NA,NA,NA,NA,6,NA,1,1,1
2020-08-20,"ndola",NA,NA,NA,NA,9,1,1,1,5
2020-08-21,"ndola",NA,NA,NA,NA,12,3,3,4,1
2020-08-22,"ndola",NA,NA,NA,NA,14,1,5,3,4
2020-08-23,"ndola",NA,NA,NA,NA,9,1,NA,4,3
2020-08-24,"ndola",NA,NA,NA,NA,12,2,1,4,4
2020-08-25,"ndola",NA,NA,NA,NA,10,NA,2,4,2
2020-08-26,"ndola",NA,NA,NA,NA,11,1,2,2,4
2020-08-27,"ndola",NA,NA,NA,NA,9,NA,1,1,4
2020-08-28,"ndola",NA,NA,NA,NA,9,2,NA,3,2
2020-08-29,"ndola",NA,NA,NA,NA,7,1,2,NA,3
2020-08-30,"ndola",NA,NA,NA,NA,10,2,1,3,3
2020-08-31,"ndola",NA,NA,NA,NA,6,1,2,2,NA
2020-09-01,"ndola",NA,NA,NA,NA,15,NA,4,3,6
2020-09-02,"ndola",NA,NA,NA,NA,11,NA,3,4,2
2020-09-03,"ndola",NA,NA,NA,NA,13,NA,4,2,5
2020-09-04,"ndola",NA,NA,NA,NA,14,4,3,2,3
2020-09-05,"ndola",NA,NA,NA,NA,12,NA,3,2,5
2020-09-06,"ndola",NA,NA,NA,NA,10,NA,1,3,3
2020-09-07,"ndola",NA,NA,NA,NA,17,1,4,5,5
2020-09-08,"ndola",NA,NA,NA,NA,17,NA,6,4,5
2020-09-09,"ndola",NA,NA,NA,NA,15,1,6,2,5
2020-09-10,"ndola",NA,NA,NA,NA,8,NA,2,1,2
2020-09-11,"ndola",NA,NA,NA,NA,19,NA,7,3,6
2020-09-12,"ndola",NA,NA,NA,NA,16,NA,4,3,6
2020-09-13,"ndola",NA,NA,NA,NA,10,NA,4,3,1
2020-09-14,"ndola",NA,NA,NA,NA,13,NA,1,4,4
2020-09-15,"ndola",NA,NA,NA,NA,13,1,3,6,1
2020-09-16,"ndola",NA,NA,NA,NA,15,2,3,3,4
2020-09-17,"ndola",NA,NA,NA,NA,14,1,5,1,4
2020-09-18,"ndola",NA,NA,NA,NA,14,NA,4,2,5
2020-09-19,"ndola",NA,NA,NA,NA,10,NA,4,2,2
2020-09-20,"ndola",NA,NA,NA,NA,12,1,2,6,2
2020-09-21,"ndola",NA,NA,NA,NA,7,NA,NA,2,3
2020-09-22,"ndola",NA,NA,NA,NA,13,2,1,2,6
2020-09-23,"ndola",NA,NA,NA,NA,11,1,2,4,3
2020-09-24,"ndola",NA,NA,NA,NA,18,NA,2,7,7
2020-09-25,"ndola",NA,NA,NA,NA,11,NA,2,2,5
2020-09-26,"ndola",NA,NA,NA,NA,10,NA,NA,4,4
2020-09-27,"ndola",NA,NA,NA,NA,5,1,NA,NA,3
2020-09-28,"ndola",NA,NA,NA,NA,7,1,NA,2,3
2020-09-29,"ndola",NA,NA,NA,NA,7,2,NA,4,1
2020-09-30,"ndola",NA,NA,NA,NA,14,2,4,NA,7
2020-10-01,"ndola",NA,NA,NA,NA,8,1,NA,4,1
2020-10-02,"ndola",NA,NA,NA,NA,8,NA,NA,2,2
2020-10-03,"ndola",NA,NA,NA,NA,19,NA,4,7,6
2020-10-04,"ndola",NA,NA,NA,NA,14,NA,1,5,6
2020-10-05,"ndola",NA,NA,NA,NA,7,NA,1,2,2
2020-10-06,"ndola",NA,NA,NA,NA,16,3,2,4,6
2020-10-07,"ndola",NA,NA,NA,NA,8,NA,1,3,2
2020-10-08,"ndola",NA,NA,NA,NA,14,2,7,2,2
2020-10-09,"ndola",NA,NA,NA,NA,9,1,2,1,1
2020-10-10,"ndola",NA,NA,NA,NA,12,3,4,3,1
2020-10-11,"ndola",NA,NA,NA,NA,11,1,1,3,3
2020-10-12,"ndola",NA,NA,NA,NA,16,NA,4,5,4
2020-10-13,"ndola",NA,NA,NA,NA,9,1,2,2,2
2020-10-14,"ndola",NA,NA,NA,NA,9,1,NA,3,4
2020-10-15,"ndola",NA,NA,NA,NA,10,1,3,2,2
2020-10-16,"ndola",NA,NA,NA,NA,16,NA,4,7,3
2020-10-17,"ndola",NA,NA,NA,NA,12,2,4,3,2
2020-10-18,"ndola",NA,NA,NA,NA,13,NA,3,5,3
2020-10-19,"ndola",NA,NA,NA,NA,13,NA,4,5,2
2020-10-20,"ndola",NA,NA,NA,NA,9,NA,4,NA,2
2020-10-21,"ndola",NA,NA,NA,NA,10,NA,NA,1,7
2020-10-22,"ndola",NA,NA,NA,NA,10,NA,2,2,2
2020-10-23,"ndola",NA,NA,NA,NA,9,1,2,2,3
2020-10-24,"ndola",NA,NA,NA,NA,18,NA,4,5,7
2020-10-25,"ndola",NA,NA,NA,NA,14,NA,5,3,4
2020-10-26,"ndola",NA,NA,NA,NA,13,1,5,2,3
2020-10-27,"ndola",NA,NA,NA,NA,9,NA,3,2,2
2020-10-28,"ndola",NA,NA,NA,NA,9,4,NA,1,3
2020-10-29,"ndola",NA,NA,NA,NA,9,NA,4,2,1
2020-10-30,"ndola",NA,NA,NA,NA,10,NA,3,1,3
2020-10-31,"ndola",NA,NA,NA,NA,12,NA,1,5,3
2020-11-01,"ndola",NA,NA,NA,NA,11,2,1,2,5
2020-11-02,"ndola",NA,NA,NA,NA,7,NA,1,1,2
2020-11-03,"ndola",NA,NA,NA,NA,6,NA,2,1,1
2020-11-04,"ndola",NA,NA,NA,NA,8,2,2,2,1
2020-11-05,"ndola",NA,NA,NA,NA,13,NA,3,5,2
2020-11-06,"ndola",NA,NA,NA,NA,19,NA,4,3,8
2020-11-07,"ndola",NA,NA,NA,NA,14,NA,3,5,3
2020-11-08,"ndola",NA,NA,NA,NA,15,NA,2,4,6
2020-11-09,"ndola",NA,NA,NA,NA,12,NA,3,3,4
2020-11-10,"ndola",NA,NA,NA,NA,14,NA,5,5,1
2020-11-11,"ndola",NA,NA,NA,NA,16,NA,7,3,2
2020-11-12,"ndola",NA,NA,NA,NA,10,NA,3,4,NA
2020-11-13,"ndola",NA,NA,NA,NA,10,NA,2,3,2
2020-11-14,"ndola",NA,NA,NA,NA,8,NA,1,NA,5
2020-11-15,"ndola",NA,NA,NA,NA,6,1,2,1,NA
2020-11-16,"ndola",NA,NA,NA,NA,13,NA,2,6,3
2020-11-17,"ndola",NA,NA,NA,NA,11,NA,1,3,5
2020-11-18,"ndola",NA,NA,NA,NA,13,NA,3,2,4
2020-11-19,"ndola",NA,NA,NA,NA,7,NA,1,4,NA
2020-11-20,"ndola",NA,NA,NA,NA,10,2,4,2,1
2020-11-21,"ndola",NA,NA,NA,NA,14,NA,2,4,6
2020-11-22,"ndola",NA,NA,NA,NA,6,2,1,1,1
2020-11-23,"ndola",NA,NA,NA,NA,11,NA,5,2,2
2020-11-24,"ndola",NA,NA,NA,NA,11,1,3,3,3
2020-11-25,"ndola",NA,NA,NA,NA,13,NA,2,6,2
2020-11-26,"ndola",NA,NA,NA,NA,14,2,1,5,4
2020-11-27,"ndola",NA,NA,NA,NA,16,NA,6,2,5
