"district","name","initial","min","max","integer","include"
"solwezi","beta14",0.0462679037355541,0,1,FALSE,TRUE
"solwezi","beta15",0.0460470678600213,0,1,FALSE,TRUE
"solwezi","beta16",0.0444008144570911,0,1,FALSE,TRUE
"solwezi","beta2",0.0727601223531782,0,1,FALSE,TRUE
"solwezi","beta3",0.0568246417533992,0,1,FALSE,TRUE
"solwezi","beta4",0.0619306853652978,0,1,FALSE,TRUE
"solwezi","beta5",0.0585497405869797,0,1,FALSE,TRUE
"solwezi","beta6",0.0659913381345076,0,1,FALSE,TRUE
"solwezi","beta7",0.064694654191647,0,1,FALSE,TRUE
"solwezi","beta8",0.049834348552886,0,1,FALSE,TRUE
"solwezi","beta9",0.0439112356470877,0,1,FALSE,TRUE
"solwezi","p_G_D",0.099,0,1,FALSE,TRUE
"solwezi","rho_pcr_tests",0.004,0,1,FALSE,TRUE
"solwezi","start_date",35,15,75,FALSE,TRUE
