"date","age_cat","n","percent"
2020-02-10,"15 to 39",2,1
2020-02-10,"40 to 59",2,1
2020-02-10,"60+",3,1
2020-02-11,"Under 15",0,NA
2020-02-11,"15 to 39",1,1
2020-02-11,"40 to 59",1,1
2020-02-11,"60+",5,1
2020-02-12,"Under 15",1,1
2020-02-12,"15 to 39",0,NA
2020-02-12,"40 to 59",1,1
2020-02-12,"60+",0,NA
2020-02-13,"Under 15",0,NA
2020-02-13,"15 to 39",2,1
2020-02-13,"40 to 59",1,1
2020-02-13,"60+",0,NA
2020-02-14,"Under 15",1,1
2020-02-14,"15 to 39",1,1
2020-02-14,"40 to 59",0,NA
2020-02-14,"60+",2,1
2020-02-15,"Under 15",1,1
2020-02-15,"15 to 39",2,1
2020-02-15,"40 to 59",0,NA
2020-02-15,"60+",1,1
2020-02-16,"Under 15",0,NA
2020-02-16,"15 to 39",3,1
2020-02-16,"40 to 59",1,1
2020-02-16,"60+",0,NA
2020-02-17,"Under 15",1,1
2020-02-17,"15 to 39",1,1
2020-02-17,"40 to 59",4,1
2020-02-17,"60+",4,1
2020-02-18,"Under 15",1,1
2020-02-18,"15 to 39",1,1
2020-02-18,"40 to 59",0,NA
2020-02-18,"60+",1,1
2020-02-19,"Under 15",2,1
2020-02-19,"15 to 39",0,NA
2020-02-19,"40 to 59",0,NA
2020-02-19,"60+",0,NA
2020-02-20,"Under 15",3,1
2020-02-20,"15 to 39",1,1
2020-02-20,"40 to 59",0,NA
2020-02-20,"60+",1,1
2020-02-21,"Under 15",0,NA
2020-02-21,"15 to 39",1,1
2020-02-21,"40 to 59",1,1
2020-02-21,"60+",3,1
2020-02-22,"Under 15",0,NA
2020-02-22,"15 to 39",0,NA
2020-02-22,"40 to 59",2,1
2020-02-22,"60+",1,1
2020-02-23,"Under 15",2,1
2020-02-23,"15 to 39",2,1
2020-02-23,"40 to 59",1,1
2020-02-23,"60+",2,1
2020-02-24,"Under 15",0,NA
2020-02-24,"15 to 39",1,1
2020-02-24,"40 to 59",0,NA
2020-02-24,"60+",3,1
2020-02-25,"Under 15",2,1
2020-02-25,"15 to 39",0,NA
2020-02-25,"40 to 59",0,NA
2020-02-25,"60+",1,1
2020-02-26,"Under 15",0,NA
2020-02-26,"15 to 39",2,1
2020-02-26,"40 to 59",1,1
2020-02-26,"60+",2,1
2020-02-27,"Under 15",0,NA
2020-02-27,"15 to 39",0,NA
2020-02-27,"40 to 59",2,1
2020-02-27,"60+",2,1
2020-02-28,"Under 15",1,1
2020-02-28,"15 to 39",2,1
2020-02-28,"40 to 59",1,1
2020-02-28,"60+",3,1
2020-02-29,"Under 15",1,1
2020-02-29,"15 to 39",0,NA
2020-02-29,"40 to 59",1,1
2020-02-29,"60+",2,1
2020-03-01,"Under 15",1,1
2020-03-01,"15 to 39",1,1
2020-03-01,"40 to 59",1,1
2020-03-01,"60+",1,1
2020-03-02,"Under 15",0,NA
2020-03-02,"15 to 39",1,1
2020-03-02,"40 to 59",1,1
2020-03-02,"60+",1,1
2020-03-03,"Under 15",1,1
2020-03-03,"15 to 39",4,1
2020-03-03,"40 to 59",3,1
2020-03-03,"60+",5,1
2020-03-04,"Under 15",0,NA
2020-03-04,"15 to 39",0,NA
2020-03-04,"40 to 59",1,1
2020-03-04,"60+",1,1
2020-03-05,"Under 15",0,NA
2020-03-05,"15 to 39",1,1
2020-03-05,"40 to 59",4,1
2020-03-05,"60+",2,1
2020-03-06,"Under 15",2,1
2020-03-06,"15 to 39",1,1
2020-03-06,"40 to 59",0,NA
2020-03-06,"60+",0,NA
2020-03-07,"Under 15",1,1
2020-03-07,"15 to 39",0,NA
2020-03-07,"40 to 59",2,1
2020-03-07,"60+",2,1
2020-03-08,"Under 15",0,NA
2020-03-08,"15 to 39",1,1
2020-03-08,"40 to 59",2,1
2020-03-08,"60+",2,1
2020-03-09,"Under 15",1,1
2020-03-09,"15 to 39",1,1
2020-03-09,"40 to 59",0,NA
2020-03-09,"60+",0,NA
2020-03-10,"Under 15",0,NA
2020-03-10,"15 to 39",4,1
2020-03-10,"40 to 59",3,1
2020-03-10,"60+",2,1
2020-03-11,"Under 15",0,NA
2020-03-11,"15 to 39",1,1
2020-03-11,"40 to 59",1,1
2020-03-11,"60+",3,1
2020-03-12,"Under 15",2,1
2020-03-12,"15 to 39",2,1
2020-03-12,"40 to 59",1,1
2020-03-12,"60+",0,NA
2020-03-13,"Under 15",1,1
2020-03-13,"15 to 39",1,1
2020-03-13,"40 to 59",0,NA
2020-03-13,"60+",2,1
2020-03-14,"Under 15",0,NA
2020-03-14,"15 to 39",0,NA
2020-03-14,"40 to 59",1,1
2020-03-14,"60+",2,1
2020-03-15,"Under 15",1,1
2020-03-15,"15 to 39",3,1
2020-03-15,"40 to 59",1,1
2020-03-15,"60+",4,1
2020-03-16,"Under 15",1,1
2020-03-16,"15 to 39",2,1
2020-03-16,"40 to 59",1,1
2020-03-16,"60+",2,1
